date,daily_incidence,daily_deaths,daily_recoveries
2020-03-12,2,0,0
2020-03-13,0,0,0
2020-03-14,1,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,149,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,43,0,0
2020-04-02,18,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,76,0,0
2020-04-07,24,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,253,0,0
2020-04-13,0,0,0
2020-04-14,70,0,0
2020-04-15,0,0,0
2020-04-16,5,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,638,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,271,0,0
2020-04-26,0,0,0
2020-04-27,120,0,0
2020-04-28,404,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,95,0,0
2020-05-02,550,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,371,0,0
2020-05-07,0,0,0
2020-05-08,922,0,0
2020-05-09,251,0,0
2020-05-10,437,0,0
2020-05-11,427,0,0
2020-05-12,0,0,0
2020-05-13,0,0,0
2020-05-14,403,0,0
2020-05-15,108,0,0
2020-05-16,97,0,0
2020-05-17,0,0,0
2020-05-18,183,0,0
2020-05-19,178,0,0
2020-05-20,173,0,0
2020-05-21,217,0,0
2020-05-22,131,0,0
2020-05-23,66,0,0
2020-05-24,0,0,0
2020-05-25,281,0,0
2020-05-26,153,0,0
2020-05-27,186,0,0
2020-05-28,313,0,0
2020-05-29,152,0,0
2020-05-30,108,0,0
2020-05-31,194,0,0
2020-06-01,227,0,0
2020-06-02,251,0,0
2020-06-03,337,0,0
2020-06-04,283,0,0
2020-06-05,294,0,0
2020-06-06,176,0,0
2020-06-07,272,0,0
2020-06-08,0,0,0
2020-06-09,291,0,0
2020-06-10,157,0,0
2020-06-11,498,0,0
2020-06-12,262,0,0
2020-06-13,304,0,0
2020-06-14,542,0,0
2020-06-15,0,0,0
2020-06-16,229,0,0
2020-06-17,397,0,0
2020-06-18,339,0,10074
2020-06-19,274,0,399
2020-06-20,514,0,0
2020-06-21,437,0,434
2020-06-22,414,0,171
2020-06-23,445,0,353
2020-06-24,460,0,323
2020-06-25,359,0,503
2020-06-26,599,0,466
2020-06-27,311,0,274
2020-06-28,609,0,0
2020-06-29,390,0,556
2020-06-30,393,0,0
2020-07-01,0,0,780
2020-07-02,1951,0,540
2020-07-03,992,0,1200
2020-07-04,891,0,1086
2020-07-05,854,0,408
2020-07-06,641,0,1058
2020-07-07,0,0,590
2020-07-08,785,0,619
2020-07-09,270,0,356
2020-07-10,0,0,880
2020-07-11,734,0,330
2020-07-12,0,0,114
2020-07-13,873,0,759
2020-07-14,0,0,645
2020-07-15,935,0,129
2020-07-16,607,0,205
2020-07-17,763,0,1652
2020-07-18,559,0,430
2020-07-19,0,0,759
2020-07-20,1377,0,1711
2020-07-21,0,0,0
2020-07-22,1485,0,637
2020-07-23,590,0,0
2020-07-24,532,0,489
2020-07-25,655,0,874
2020-07-26,782,0,820
2020-07-27,736,0,699
2020-07-28,359,0,810
2020-07-29,0,0,729
2020-07-30,1513,0,550
2020-07-31,798,0,948
2020-08-01,0,0,469
2020-08-02,1263,0,781
2020-08-03,567,0,821
2020-08-04,0,0,254
2020-08-05,891,0,1064
2020-08-06,0,0,628
2020-08-07,679,0,397
2020-08-08,192,0,328
2020-08-09,168,0,265
2020-08-10,0,0,175
2020-08-11,275,0,223
2020-08-12,0,0,275
2020-08-13,363,0,154
2020-08-14,0,0,215
2020-08-15,443,0,205
2020-08-16,340,0,229
2020-08-17,0,0,167
2020-08-18,267,0,313
2020-08-19,65,0,132
2020-08-20,180,0,124
2020-08-21,117,0,163
2020-08-22,0,0,148
2020-08-23,0,0,205
2020-08-24,219,0,198
2020-08-25,0,0,146
2020-08-26,0,0,0
2020-08-27,455,0,385
2020-08-28,0,0,186
2020-08-29,0,0,158
2020-08-30,0,0,232
2020-08-31,0,0,125
2020-09-01,417,0,99
2020-09-02,64,0,116
2020-09-03,92,0,108
