date,weekly_incidence,weekly_deaths,weekly_recoveries,days_reported
2020-03-12,3,0,0,2
2020-03-19,0,0,0,0
2020-03-26,192,5,0,2
2020-04-02,118,1,0,3
2020-04-09,323,0,0,2
2020-04-16,643,4,0,2
2020-04-23,795,7,0,3
2020-04-30,1016,1,0,3
2020-05-07,2037,4,0,4
2020-05-14,1142,9,0,6
2020-05-21,1034,3,0,6
2020-05-28,1582,4,0,7
2020-06-04,1473,10,0,6
2020-06-11,2232,18,0,6
2020-06-18,2883,29,11754,7
2020-06-25,2661,22,2579,6
2020-07-02,6114,18,5501,6
2020-07-09,2812,10,3213,4
2020-07-16,4791,8,5394,5
2020-07-23,3654,29,4421,6
2020-07-30,5032,24,4887,5
2020-08-06,1314,17,2291,4
2020-08-13,1478,38,1415,5
2020-08-20,516,9,984,3
2020-08-27,936,13,1301,3
2020-09-03,657,3,778,6
2020-09-10,428,11,610,4
2020-09-17,492,2,537,5
2020-09-24,372,2,388,3
2020-10-01,279,5,392,6
2020-10-08,271,4,195,7
2020-10-15,458,6,174,4
2020-10-22,434,4,463,4
2020-10-29,880,0,451,6
2020-11-05,1119,2,662,7
2020-11-12,751,1,1077,2
2020-11-19,602,0,953,7
2020-11-26,798,2,705,7
2020-12-03,740,2,698,7
2020-12-10,717,4,684,7
2020-12-17,670,2,735,7
2020-12-24,663,2,648,6
2020-12-31,973,1,715,5
2021-01-07,1380,10,866,6
2021-01-14,2698,21,1546,6
2021-01-21,5312,38,3405,6
2021-01-28,5341,52,3602,7
2021-02-04,5068,76,3128,6
2021-02-11,3819,39,5430,5
2021-02-18,3557,27,4617,6
2021-02-25,2886,41,3486,7
2021-03-04,1670,45,2550,7
2021-03-11,1738,35,2286,6
2021-03-18,787,20,1682,7
2021-03-25,495,8,1448,5
2021-04-01,478,6,507,7
2021-04-08,403,17,438,4
2021-04-15,503,6,390,5
2021-04-22,435,2,328,5
2021-04-29,350,4,320,5
2021-05-06,292,0,578,5
2021-05-13,377,0,435,6
