Date,I_data,H_data
2020-01-29,12.0,0.0
2020-01-30,12.0,0.0
2020-01-31,12.0,0.0
2020-02-01,12.0,0.0
2020-02-02,12.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,6.0,0.0
2020-02-07,6.0,0.0
2020-02-08,6.0,0.0
2020-02-09,6.0,0.0
2020-02-10,6.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,24.0,91.0
2020-02-21,240.0,214.0
2020-02-22,582.0,322.0
2020-02-23,1044.0,473.0
2020-02-24,1554.0,664.0
2020-02-25,2682.0,840.0
2020-02-26,4128.0,990.0
2020-02-27,5508.0,1198.0
2020-02-28,7164.0,1427.0
2020-02-29,8892.0,1610.0
2020-03-01,10200.0,1784.0
2020-03-02,12318.0,2180.0
2020-03-03,15408.0,2680.0
2020-03-04,19740.0,3214.0
2020-03-05,25314.0,3937.0
2020-03-06,32034.0,4720.0
2020-03-07,37170.0,5254.0
2020-03-08,41058.0,5597.0
2020-03-09,48030.0,6142.0
2020-03-10,54906.0,6630.0
2020-03-11,62388.0,7165.0
2020-03-12,72330.0,7869.0
2020-03-13,88242.0,9049.0
2020-03-14,96012.0,9588.0
2020-03-15,98412.0,9913.0
2020-03-16,110652.0,10648.0
2020-03-17,123870.0,11409.0
2020-03-18,133392.0,11782.0
2020-03-19,146286.0,12574.0
2020-03-20,166746.0,13527.0
2020-03-21,167340.0,13582.0
2020-03-22,158814.0,13113.0
2020-03-23,161268.0,13120.0
2020-03-24,162678.0,12958.0
2020-03-25,159960.0,12418.0
2020-03-26,164640.0,12000.0
2020-03-27,175812.0,12050.0
2020-03-28,166398.0,11085.0
2020-03-29,148968.0,9900.0
2020-03-30,144642.0,9269.0
2020-03-31,142596.0,8739.0
2020-04-01,138024.0,8014.0
2020-04-02,139518.0,7736.0
2020-04-03,148134.0,7574.0
2020-04-04,139620.0,6920.0
2020-04-05,123090.0,6165.0
2020-04-06,117468.0,5681.0
2020-04-07,113640.0,5257.0
2020-04-08,115710.0,5041.0
