weekly_incidence,weekly_hospitalisations
12.0,0
6.0,0
0.0,0
2706.0,931
18792.0,3269
69168.0,8641
159390.0,15075
230898.0,18460
211602.0,13193
172458.0,8257
153012.0,6051
127560.0,4570
90300.0,3528
61182.0,2153
42396.0,1740
29172.0,1280
21228.0,942
13578.0,708
12354.0,645
12294.0,546
10080.0,572
7326.0,548
8958.0,499
8538.0,499
10008.0,521
10800.0,495
13578.0,542
17478.0,552
23196.0,653
48414.0,851
43284.0,998
0.0,1240
0.0,1478
0.0,1633
0.0,1814
0.0,2640
0.0,4370
0.0,7686
0.0,11928
0.0,15384
0.0,17538
0.0,17079
0.0,14291
0.0,11648
0.0,10198
0.0,9240
0.0,8636
0.0,8633
0.0,9406
0.0,9202
0.0,8200
0.0,7303
0.0,6724
0.0,6671
0.0,6449
0.0,7617
0.0,9363
0.0,11568
0.0,13045
0.0,12866
0.0,12269
0.0,11148
0.0,9156
0.0,7547
0.0,6822
0.0,5801
0.0,4351
0.0,3226
0.0,2175
0.0,1632
0.0,1232
0.0,876
0.0,611
0.0,501
0.0,458
0.0,599
0.0,880
0.0,1382
0.0,1734
0.0,2109
0.0,2396
0.0,2518
0.0,2518
0.0,2345
0.0,2061
0.0,1699
0.0,1402
0.0,1224
0.0,1038
0.0,1182
0.0,1458
0.0,1754
0.0,2087
0.0,2464
0.0,2864
0.0,3213
0.0,3731
0.0,4363
0.0,5116
0.0,6965
0.0,9830
0.0,11445
0.0,11410
0.0,10624
0.0,9538
0.0,8125
0.0,6492
0.0,5175
0.0,4148
0.0,4028
0.0,4436
0.0,5119
0.0,5465
0.0,5255
0.0,5202
0.0,4914
0.0,4758
0.0,4440
0.0,3729
0.0,3379
0.0,2680
0.0,2278
0.0,2183
0.0,2500
0.0,3482
0.0,4525
0.0,6021
0.0,6546
0.0,6400
0.0,5983
0.0,4714
0.0,3850
0.0,2935
0.0,2781
0.0,2313
0.0,2094
0.0,1898
0.0,1937
0.0,2343
0.0,3370
0.0,3922
0.0,3593
0.0,1161
