date,new_infections,new_hospitalisations,daily_incidence_corrected,I_proxy,H_proxy,observed_sparse40
2020-02-20,4,91,24.0,24.0,91.0,0
2020-02-21,36,123,216.0,240.0,214.0,0
2020-02-22,57,108,342.0,582.0,322.0,0
2020-02-23,77,151,462.0,1044.0,473.0,0
2020-02-24,85,191,510.0,1554.0,664.0,1
2020-02-25,192,267,1152.0,2682.0,840.0,0
2020-02-26,277,273,1662.0,4128.0,990.0,1
2020-02-27,287,316,1722.0,5508.0,1198.0,1
2020-02-28,353,380,2118.0,7164.0,1427.0,1
2020-02-29,373,374,2238.0,8892.0,1610.0,1
2020-03-01,410,441,2460.0,10200.0,1784.0,1
2020-03-02,630,669,3780.0,12318.0,2180.0,1
2020-03-03,802,816,4812.0,15408.0,2680.0,1
2020-03-04,1075,914,6450.0,19740.0,3214.0,1
2020-03-05,1302,1097,7812.0,25314.0,3937.0,0
2020-03-06,1530,1224,9180.0,32034.0,4720.0,0
2020-03-07,1486,1203,8916.0,37170.0,5254.0,0
2020-03-08,1450,1159,8700.0,41058.0,5597.0,1
2020-03-09,2237,1459,13422.0,48030.0,6142.0,0
2020-03-10,2448,1585,14688.0,54906.0,6630.0,0
2020-03-11,2777,1759,16662.0,62388.0,7165.0,1
2020-03-12,3143,1907,18858.0,72330.0,7869.0,0
2020-03-13,4102,2339,24612.0,88242.0,9049.0,1
2020-03-14,3532,1998,21192.0,96012.0,9588.0,1
2020-03-15,2848,1910,17088.0,98412.0,9913.0,1
2020-03-16,4817,2494,28902.0,110652.0,10648.0,0
2020-03-17,5346,2668,32076.0,123870.0,11409.0,0
2020-03-18,5689,2712,34134.0,133392.0,11782.0,1
2020-03-19,5681,2790,34086.0,146286.0,12574.0,1
2020-03-20,6258,2863,37548.0,166746.0,13527.0,1
2020-03-21,4916,2549,29496.0,167340.0,13582.0,0
2020-03-22,3925,2199,23550.0,158814.0,13113.0,1
2020-03-23,6098,2719,36588.0,161268.0,13120.0,1
2020-03-24,5916,2628,35496.0,162678.0,12958.0,0
2020-03-25,5805,2323,34830.0,159960.0,12418.0,1
2020-03-26,5696,2131,34176.0,164640.0,12000.0,1
2020-03-27,5787,2249,34722.0,175812.0,12050.0,0
2020-03-28,4529,1754,27174.0,166398.0,11085.0,1
2020-03-29,3011,1443,18066.0,148968.0,9900.0,1
2020-03-30,5084,1692,30504.0,144642.0,9269.0,0
2020-03-31,5355,1601,32130.0,142596.0,8739.0,1
2020-04-01,5025,1524,30150.0,138024.0,8014.0,0
2020-04-02,4778,1476,28668.0,139518.0,7736.0,1
2020-04-03,4447,1281,26682.0,148134.0,7574.0,1
2020-04-04,3665,1038,21990.0,139620.0,6920.0,1
2020-04-05,2600,846,15600.0,123090.0,6165.0,1
2020-04-06,4088,1040,24528.0,117468.0,5681.0,1
2020-04-07,4140,1052,24840.0,113640.0,5257.0,1
2020-04-08,4792,1065,28752.0,115710.0,5041.0,1
2020-04-09,4684,1021,28104.0,121824.0,5024.0,1
2020-04-10,5131,951,30786.0,137010.0,5129.0,0
2020-04-11,3430,829,20580.0,133062.0,4918.0,1
2020-04-12,1918,672,11508.0,119730.0,4538.0,0
2020-04-13,2270,632,13620.0,104598.0,4105.0,1
2020-04-14,3277,881,19662.0,96156.0,3965.0,0
2020-04-15,3947,734,23682.0,89052.0,3748.0,1
2020-04-16,3703,735,22218.0,90690.0,3654.0,0
2020-04-17,3497,741,20982.0,100164.0,3723.0,1
2020-04-18,2639,582,15834.0,102378.0,3673.0,1
2020-04-19,1387,478,8322.0,91038.0,3270.0,0
2020-04-20,3008,674,18048.0,85404.0,3210.0,0
2020-04-21,3079,626,18474.0,81660.0,3101.0,1
2020-04-22,2603,629,15618.0,76296.0,2989.0,0
2020-04-23,2810,611,16860.0,77322.0,3018.0,1
2020-04-24,2738,570,16428.0,85428.0,3110.0,1
2020-04-25,1665,434,9990.0,77370.0,2870.0,1
2020-04-26,1017,367,6102.0,64998.0,2611.0,0
2020-04-27,1977,463,11862.0,61242.0,2445.0,0
2020-04-28,2240,454,13440.0,57822.0,2288.0,0
2020-04-29,2328,423,13968.0,55362.0,2141.0,1
2020-04-30,2268,383,13608.0,58980.0,2090.0,0
2020-05-01,1084,290,6504.0,59382.0,2013.0,1
2020-05-02,1021,250,6126.0,53646.0,1800.0,1
2020-05-03,505,189,3030.0,43236.0,1535.0,1
2020-05-04,1454,315,8724.0,37992.0,1427.0,1
2020-05-05,1537,303,9222.0,33606.0,1347.0,0
2020-05-06,1440,305,8640.0,35742.0,1362.0,1
2020-05-07,1389,307,8334.0,37950.0,1419.0,0
2020-05-08,1381,303,8286.0,43206.0,1533.0,1
2020-05-09,731,186,4386.0,38868.0,1404.0,1
2020-05-10,336,178,2016.0,31662.0,1279.0,1
2020-05-11,874,265,5244.0,28266.0,1239.0,1
2020-05-12,915,196,5490.0,25422.0,1128.0,0
2020-05-13,890,215,5340.0,22476.0,1040.0,1
2020-05-14,900,216,5400.0,23490.0,1070.0,0
2020-05-15,791,227,4746.0,26220.0,1119.0,0
2020-05-16,607,142,3642.0,24618.0,996.0,1
2020-05-17,299,130,1794.0,20922.0,930.0,1
2020-05-18,655,183,3930.0,19512.0,898.0,1
2020-05-19,720,167,4320.0,18432.0,849.0,0
2020-05-20,676,156,4056.0,17742.0,778.0,0
