date,new_infections,new_hospitalisations
2020-01-29,2,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,1,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,4,91
2020-02-21,36,123
2020-02-22,57,108
2020-02-23,77,151
2020-02-24,85,191
2020-02-25,192,267
2020-02-26,277,273
2020-02-27,287,316
2020-02-28,353,380
2020-02-29,373,374
2020-03-01,410,441
2020-03-02,630,669
2020-03-03,802,816
2020-03-04,1075,914
2020-03-05,1302,1097
2020-03-06,1530,1224
2020-03-07,1486,1203
2020-03-08,1450,1159
2020-03-09,2237,1459
2020-03-10,2448,1585
2020-03-11,2777,1759
2020-03-12,3143,1907
2020-03-13,4102,2339
2020-03-14,3532,1998
2020-03-15,2848,1910
2020-03-16,4817,2494
2020-03-17,5346,2668
2020-03-18,5689,2712
2020-03-19,5681,2790
2020-03-20,6258,2863
2020-03-21,4916,2549
2020-03-22,3925,2199
2020-03-23,6098,2719
2020-03-24,5916,2628
2020-03-25,5805,2323
2020-03-26,5696,2131
2020-03-27,5787,2249
2020-03-28,4529,1754
2020-03-29,3011,1443
2020-03-30,5084,1692
2020-03-31,5355,1601
2020-04-01,5025,1524
2020-04-02,4778,1476
2020-04-03,4447,1281
2020-04-04,3665,1038
2020-04-05,2600,846
2020-04-06,4088,1040
2020-04-07,4140,1052
2020-04-08,4792,1065
2020-04-09,4684,1021
2020-04-10,5131,951
2020-04-11,3430,829
2020-04-12,1918,672
2020-04-13,2270,632
2020-04-14,3277,881
2020-04-15,3947,734
2020-04-16,3703,735
2020-04-17,3497,741
2020-04-18,2639,582
2020-04-19,1387,478
2020-04-20,3008,674
2020-04-21,3079,626
2020-04-22,2603,629
2020-04-23,2810,611
2020-04-24,2738,570
2020-04-25,1665,434
2020-04-26,1017,367
2020-04-27,1977,463
2020-04-28,2240,454
2020-04-29,2328,423
2020-04-30,2268,383
2020-05-01,1084,290
2020-05-02,1021,250
2020-05-03,505,189
2020-05-04,1454,315
2020-05-05,1537,303
2020-05-06,1440,305
2020-05-07,1389,307
2020-05-08,1381,303
2020-05-09,731,186
2020-05-10,336,178
2020-05-11,874,265
2020-05-12,915,196
2020-05-13,890,215
2020-05-14,900,216
2020-05-15,791,227
2020-05-16,607,142
2020-05-17,299,130
2020-05-18,655,183
2020-05-19,720,167
2020-05-20,676,156
2020-05-21,621,135
2020-05-22,685,145
2020-05-23,356,101
2020-05-24,147,104
2020-05-25,513,171
2020-05-26,540,130
2020-05-27,523,126
2020-05-28,516,87
2020-05-29,386,126
2020-05-30,285,92
2020-05-31,89,63
2020-06-01,377,142
2020-06-02,87,72
2020-06-03,358,114
2020-06-04,361,97
2020-06-05,385,106
2020-06-06,203,56
2020-06-07,84,51
2020-06-08,300,135
2020-06-09,368,86
2020-06-10,394,87
2020-06-11,449,68
2020-06-12,368,96
2020-06-13,214,73
2020-06-14,68,57
2020-06-15,276,98
2020-06-16,280,67
2020-06-17,303,106
2020-06-18,233,84
2020-06-19,290,103
2020-06-20,165,39
2020-06-21,62,51
2020-06-22,338,110
2020-06-23,289,79
2020-06-24,208,102
2020-06-25,203,76
2020-06-26,186,97
2020-06-27,124,47
2020-06-28,66,38
2020-06-29,231,109
2020-06-30,203,79
2020-07-01,237,70
2020-07-02,249,80
2020-07-03,244,97
2020-07-04,224,40
2020-07-05,76,51
2020-07-06,237,90
2020-07-07,226,71
2020-07-08,289,79
2020-07-09,220,71
2020-07-10,254,79
2020-07-11,163,57
2020-07-12,64,45
2020-07-13,191,93
2020-07-14,242,75
2020-07-15,240,76
2020-07-16,265,61
2020-07-17,283,102
2020-07-18,172,56
2020-07-19,111,40
2020-07-20,319,99
2020-07-21,278,87
2020-07-22,289,79
2020-07-23,270,72
2020-07-24,312,74
2020-07-25,195,67
2020-07-26,91,49
2020-07-27,326,82
2020-07-28,317,72
2020-07-29,468,81
2020-07-30,378,67
2020-07-31,314,89
2020-08-01,190,70
2020-08-02,107,57
2020-08-03,418,112
2020-08-04,388,66
2020-08-05,507,96
2020-08-06,395,73
2020-08-07,487,83
2020-08-08,332,60
2020-08-09,184,66
2020-08-10,486,111
2020-08-11,522,63
2020-08-12,623,111
2020-08-13,532,89
2020-08-14,599,86
2020-08-15,294,67
2020-08-16,256,69
2020-08-17,690,109
2020-08-18,872,122
2020-08-19,1000,148
2020-08-20,1092,92
2020-08-21,1295,100
2020-08-22,957,124
2020-08-23,636,96
2020-08-24,1563,136
2020-08-25,1526,155
2020-08-26,1487,154
2020-08-27,1463,152
2020-08-28,1382,152
2020-08-29,1021,115
2020-08-30,515,117
2020-08-31,1346,146
2020-09-01,1356,162
2020-09-02,1527,189
2020-09-03,1528,189
2020-09-04,1595,181
2020-09-05,1098,150
2020-09-06,516,127
2020-09-07,1508,223
2020-09-08,1539,181
2020-09-09,1566,198
2020-09-10,1597,221
2020-09-11,1571,213
2020-09-12,1169,186
2020-09-13,542,175
2020-09-14,1566,234
2020-09-15,1740,251
2020-09-16,1517,240
2020-09-17,1678,250
2020-09-18,1817,246
2020-09-19,1272,188
2020-09-20,599,169
2020-09-21,1903,273
2020-09-22,1867,267
2020-09-23,1967,269
2020-09-24,1899,257
2020-09-25,2015,287
2020-09-26,1396,220
2020-09-27,818,197
2020-09-28,2145,292
2020-09-29,2232,292
2020-09-30,2498,271
2020-10-01,2889,352
2020-10-02,3159,369
2020-10-03,2421,361
2020-10-04,1651,329
2020-10-05,4403,453
2020-10-06,4718,505
2020-10-07,5280,493
2020-10-08,5954,538
2020-10-09,6722,572
2020-10-10,5820,580
2020-10-11,3188,594
2020-10-12,9221,768
2020-10-13,10103,825
2020-10-14,11071,851
2020-10-15,11754,956
2020-10-16,13348,981
2020-10-17,11431,1115
2020-10-18,6087,1039
2020-10-19,17280,1317
2020-10-20,19222,1427
2020-10-21,22300,1433
2020-10-22,23779,1535
2020-10-23,25761,1741
2020-10-24,19688,1582
2020-10-25,10708,1658
2020-10-26,28129,2006
2020-10-27,31063,1973
2020-10-28,33545,2024
2020-10-29,32701,2117
2020-10-30,34974,2305
2020-10-31,25111,2070
2020-11-01,13137,1931
2020-11-02,34769,2444
2020-11-03,37480,2493
2020-11-04,41046,2628
2020-11-05,39619,2636
2020-11-06,41444,2581
2020-11-07,29588,2438
2020-11-08,15157,2190
2020-11-09,37861,2518
2020-11-10,39957,2547
2020-11-11,38818,2643
2020-11-12,38179,2539
2020-11-13,39048,2563
2020-11-14,28101,2333
2020-11-15,13933,2026
2020-11-16,36303,2501
2020-11-17,37949,2474
2020-11-18,36340,2324
2020-11-19,34970,2317
2020-11-20,32342,2221
2020-11-21,22424,1829
2020-11-22,10502,1611
2020-11-23,28083,2028
2020-11-24,28431,1961
2020-11-25,27059,1861
2020-11-26,26267,1785
2020-11-27,24107,1786
2020-11-28,17897,1611
2020-11-29,7965,1379
2020-11-30,22301,1605
2020-12-01,22913,1621
2020-12-02,21213,1628
2020-12-03,19876,1584
2020-12-04,20222,1550
2020-12-05,15148,1439
2020-12-06,6212,1269
2020-12-07,19311,1422
2020-12-08,7465,1306
2020-12-09,19980,1437
2020-12-10,20408,1401
2020-12-11,19569,1446
2020-12-12,14107,1272
2020-12-13,5637,1046
2020-12-14,18046,1360
2020-12-15,18402,1278
2020-12-16,16794,1258
2020-12-17,16420,1296
2020-12-18,16849,1272
2020-12-19,12857,1211
2020-12-20,6388,1049
2020-12-21,17165,1257
2020-12-22,19445,1293
2020-12-23,18956,1243
2020-12-24,15764,1263
2020-12-25,4476,995
2020-12-26,7920,1153
2020-12-27,7670,1205
2020-12-28,19085,1364
2020-12-29,23894,1410
2020-12-30,23661,1345
2020-12-31,18919,1373
2021-01-01,5788,1153
2021-01-02,16141,1416
2021-01-03,8324,1217
2021-01-04,22797,1437
2021-01-05,24569,1465
2021-01-06,8972,1223
2021-01-07,21327,1411
2021-01-08,20884,1473
2021-01-09,15434,1281
2021-01-10,6868,1155
2021-01-11,16892,1348
2021-01-12,16335,1311
2021-01-13,15320,1284
2021-01-14,14512,1291
2021-01-15,14213,1253
2021-01-16,10809,1198
2021-01-17,4893,930
2021-01-18,14424,1165
2021-01-19,14434,1079
2021-01-20,13592,1081
2021-01-21,12757,1142
2021-01-22,13539,1067
2021-01-23,10418,1000
2021-01-24,4791,863
2021-01-25,14214,1174
2021-01-26,14497,976
2021-01-27,13210,928
2021-01-28,12148,983
2021-01-29,12852,1028
2021-01-30,10178,906
2021-01-31,4759,829
2021-02-01,13357,1064
2021-02-02,13831,986
2021-02-03,13220,983
2021-02-04,13168,979
2021-02-05,13513,978
2021-02-06,10637,896
2021-02-07,4715,849
2021-02-08,13754,1023
2021-02-09,14456,963
2021-02-10,13726,1008
2021-02-11,13311,985
2021-02-12,13034,941
2021-02-13,9751,849
2021-02-14,4335,741
2021-02-15,12895,975
2021-02-16,14043,950
2021-02-17,13933,1026
2021-02-18,14517,1052
2021-02-19,15347,1040
2021-02-20,12559,996
2021-02-21,5701,931
2021-02-22,17807,1291
2021-02-23,19720,1281
2021-02-24,19777,1204
2021-02-25,19366,1211
2021-02-26,20805,1351
2021-02-27,15859,1335
2021-02-28,6985,1167
2021-03-01,21880,1455
2021-03-02,22964,1640
2021-03-03,23723,1623
2021-03-04,22628,1581
2021-03-05,24153,1706
2021-03-06,18007,1581
2021-03-07,7924,1380
2021-03-08,23778,1845
2021-03-09,25809,1852
2021-03-10,25571,1861
2021-03-11,25491,1740
2021-03-12,25119,1876
2021-03-13,19865,1849
2021-03-14,8778,1619
2021-03-15,24227,2038
2021-03-16,25667,2062
2021-03-17,24618,1928
2021-03-18,23811,1818
2021-03-19,23337,1882
2021-03-20,17737,1817
2021-03-21,8327,1646
2021-03-22,23152,1924
2021-03-23,24306,1851
2021-03-24,23978,1802
2021-03-25,22920,1852
2021-03-26,23242,1905
2021-03-27,17105,1696
2021-03-28,8055,1401
2021-03-29,22121,1855
2021-03-30,23076,1758
2021-03-31,21846,1720
2021-04-01,21416,1723
2021-04-02,20269,1823
2021-04-03,15367,1606
2021-04-04,5547,1298
2021-04-05,7141,1375
2021-04-06,18293,1603
2021-04-07,18974,1474
2021-04-08,17407,1370
2021-04-09,16992,1394
2021-04-10,13835,1267
2021-04-11,6576,1113
2021-04-12,16696,1227
2021-04-13,17055,1311
2021-04-14,16041,1149
2021-04-15,14726,1128
2021-04-16,14903,1045
2021-04-17,11265,1006
2021-04-18,5630,1005
2021-04-19,14548,1102
2021-04-20,15460,1112
2021-04-21,14502,1087
2021-04-22,14074,994
2021-04-23,14284,1041
2021-04-24,11889,943
2021-04-25,5094,833
2021-04-26,13538,996
2021-04-27,14245,928
2021-04-28,13530,968
2021-04-29,12222,847
2021-04-30,12770,890
2021-05-01,5988,742
2021-05-02,4515,667
2021-05-03,11322,853
2021-05-04,11247,834
2021-05-05,10606,747
2021-05-06,9370,677
2021-05-07,9318,674
2021-05-08,7238,612
2021-05-09,3504,455
2021-05-10,8030,653
2021-05-11,8170,533
2021-05-12,7376,552
2021-05-13,6566,544
2021-05-14,6433,498
2021-05-15,4942,417
2021-05-16,2084,361
2021-05-17,5443,470
2021-05-18,5737,384
2021-05-19,5007,375
2021-05-20,4343,372
2021-05-21,4462,336
2021-05-22,3588,271
2021-05-23,1395,266
2021-05-24,3935,302
2021-05-25,3988,253
2021-05-26,3630,291
2021-05-27,3365,225
2021-05-28,3383,271
2021-05-29,2667,218
2021-05-30,1151,184
2021-05-31,2928,220
2021-06-01,3102,223
2021-06-02,1234,175
2021-06-03,2718,186
2021-06-04,2935,201
2021-06-05,2034,153
2021-06-06,945,161
2021-06-07,2177,189
2021-06-08,2117,167
2021-06-09,1823,149
2021-06-10,1794,126
2021-06-11,1803,127
2021-06-12,1155,127
2021-06-13,551,112
2021-06-14,1449,109
2021-06-15,1301,126
2021-06-16,1200,109
2021-06-17,1110,90
2021-06-18,1075,93
2021-06-19,818,71
2021-06-20,356,67
2021-06-21,942,78
2021-06-22,912,103
2021-06-23,771,74
2021-06-24,780,88
2021-06-25,842,65
2021-06-26,641,68
2021-06-27,264,57
2021-06-28,826,77
2021-06-29,786,72
2021-06-30,869,66
2021-07-01,904,72
2021-07-02,966,55
2021-07-03,806,61
2021-07-04,398,69
2021-07-05,1131,67
2021-07-06,1361,68
2021-07-07,1193,86
2021-07-08,1369,92
2021-07-09,1471,83
2021-07-10,1362,72
2021-07-11,764,71
2021-07-12,1967,86
2021-07-13,2531,109
2021-07-14,2561,95
2021-07-15,3072,105
2021-07-16,3617,119
2021-07-17,2841,120
2021-07-18,1644,116
2021-07-19,4154,166
2021-07-20,4913,159
2021-07-21,5047,176
2021-07-22,4915,197
2021-07-23,5387,187
2021-07-24,4188,187
2021-07-25,2167,213
2021-07-26,6275,212
2021-07-27,6354,210
2021-07-28,6096,225
2021-07-29,5866,212
2021-07-30,6071,256
2021-07-31,4925,232
2021-08-01,2370,236
2021-08-02,6596,271
2021-08-03,7097,302
2021-08-04,7118,283
2021-08-05,6370,283
2021-08-06,7065,314
2021-08-07,5040,285
2021-08-08,2984,267
2021-08-09,6974,348
2021-08-10,7262,329
2021-08-11,6781,332
2021-08-12,6858,324
2021-08-13,6704,361
2021-08-14,4968,326
2021-08-15,2238,302
2021-08-16,6541,406
2021-08-17,7487,345
2021-08-18,7079,393
2021-08-19,6945,362
2021-08-20,7282,347
2021-08-21,5510,371
2021-08-22,3015,288
2021-08-23,7754,377
2021-08-24,7720,380
2021-08-25,7605,367
2021-08-26,6884,409
2021-08-27,6949,382
2021-08-28,5461,365
2021-08-29,2868,322
2021-08-30,6825,326
2021-08-31,6995,347
2021-09-01,6445,350
2021-09-02,6046,374
2021-09-03,6158,338
2021-09-04,4533,338
2021-09-05,2296,262
2021-09-06,5716,344
2021-09-07,5889,339
2021-09-08,5300,314
2021-09-09,4923,305
2021-09-10,5037,305
2021-09-11,3894,293
2021-09-12,1805,246
2021-09-13,4870,326
2021-09-14,5097,272
2021-09-15,4762,249
2021-09-16,4256,281
2021-09-17,4438,263
2021-09-18,3439,232
2021-09-19,1659,208
2021-09-20,4223,231
2021-09-21,4052,235
2021-09-22,3759,208
2021-09-23,3464,244
2021-09-24,3557,199
2021-09-25,2804,183
2021-09-26,1261,157
2021-09-27,3514,223
2021-09-28,3628,188
2021-09-29,3413,169
2021-09-30,3280,179
2021-10-01,3094,199
2021-10-02,2667,174
2021-10-03,1040,152
2021-10-04,3058,177
2021-10-05,3102,174
2021-10-06,2830,153
2021-10-07,2714,166
2021-10-08,2631,149
2021-10-09,2085,137
2021-10-10,1189,126
2021-10-11,2990,146
2021-10-12,2731,161
2021-10-13,2626,159
2021-10-14,2701,142
2021-10-15,2873,172
2021-10-16,2274,158
2021-10-17,1152,141
2021-10-18,3602,194
2021-10-19,3741,216
2021-10-20,3732,194
2021-10-21,3824,195
2021-10-22,4320,242
2021-10-23,3510,186
2021-10-24,1526,189
2021-10-25,4856,230
2021-10-26,5049,222
2021-10-27,5063,264
2021-10-28,5010,239
2021-10-29,5046,251
2021-10-30,4510,247
2021-10-31,2141,236
2021-11-01,2824,225
2021-11-02,6455,292
2021-11-03,6592,290
2021-11-04,7026,329
2021-11-05,7208,309
2021-11-06,5662,261
2021-11-07,2609,248
2021-11-08,8037,337
2021-11-09,8580,313
2021-11-10,8295,325
2021-11-11,7899,302
2021-11-12,8875,366
2021-11-13,7467,356
2021-11-14,3471,302
2021-11-15,10054,392
2021-11-16,11113,421
2021-11-17,10556,398
2021-11-18,10960,389
2021-11-19,11388,419
2021-11-20,9551,379
2021-11-21,4348,360
2021-11-22,12849,458
2021-11-23,13538,461
2021-11-24,13184,428
2021-11-25,13284,468
2021-11-26,13747,492
2021-11-27,11887,444
2021-11-28,5536,386
2021-11-29,16067,514
2021-11-30,16208,481
2021-12-01,16048,473
2021-12-02,16869,549
2021-12-03,17380,534
2021-12-04,14413,520
2021-12-05,6852,459
2021-12-06,19758,639
2021-12-07,20240,557
2021-12-08,10035,538
2021-12-09,21407,639
2021-12-10,22747,631
2021-12-11,19273,626
2021-12-12,9137,527
2021-12-13,25722,706
2021-12-14,26366,696
2021-12-15,26645,687
2021-12-16,27085,707
