date,I_proxy,Rt
2020-03-12,2,1.0
2020-03-13,2,1.0
2020-03-14,3,2.6666666666666665
2020-03-15,3,1.0
2020-03-16,3,1.0
2020-03-17,1,-9.0
2020-03-18,1,1.0
2020-03-19,0,1.0
2020-03-20,0,1.0
2020-03-21,0,1.0
2020-03-22,0,1.0
2020-03-23,0,1.0
2020-03-24,0,1.0
2020-03-25,0,1.0
2020-03-26,0,1.0
2020-03-27,0,1.0
2020-03-28,0,1.0
2020-03-29,149,6.0
2020-03-30,149,1.0
2020-03-31,149,1.0
2020-04-01,192,2.1197916666666665
2020-04-02,210,1.4285714285714286
2020-04-03,61,-11.21311475409836
2020-04-04,61,1.0
2020-04-05,61,1.0
2020-04-06,94,2.75531914893617
2020-04-07,100,1.3
2020-04-08,100,1.0
2020-04-09,100,1.0
2020-04-10,100,1.0
2020-04-11,24,-14.83333333333333
2020-04-12,253,5.525691699604743
2020-04-13,253,1.0
2020-04-14,323,2.08359133126935
2020-04-15,323,1.0
2020-04-16,328,1.076219512195122
2020-04-17,75,-15.866666666666667
2020-04-18,75,1.0
2020-04-19,5,-69.0
2020-04-20,5,1.0
2020-04-21,0,1.0
2020-04-22,638,6.0
2020-04-23,638,1.0
2020-04-24,638,1.0
2020-04-25,909,2.4906490649064903
2020-04-26,909,1.0
2020-04-27,391,-5.624040920716112
2020-04-28,795,3.540880503144654
2020-04-29,795,1.0
2020-04-30,524,-1.5858778625954195
2020-05-01,619,1.7673667205169628
2020-05-02,1049,3.0495710200190658
2020-05-03,645,-2.131782945736434
2020-05-04,645,1.0
2020-05-05,645,1.0
2020-05-06,921,2.4983713355048858
2020-05-07,371,-6.412398921832883
2020-05-08,1293,4.565351894818251
2020-05-09,1544,1.8128238341968912
2020-05-10,1981,2.1029782937910144
2020-05-11,2037,1.1374570446735395
2020-05-12,2037,1.0
2020-05-13,1115,-3.1345291479820627
2020-05-14,1267,1.5998421468034727
2020-05-15,938,-0.7537313432835819
2020-05-16,608,-1.713815789473684
2020-05-17,608,1.0
2020-05-18,791,2.156763590391909
2020-05-19,566,-0.9876325088339222
2020-05-20,631,1.515055467511886
2020-05-21,751,1.7989347536617841
2020-05-22,882,1.7426303854875282
2020-05-23,765,0.23529411764705888
2020-05-24,587,-0.5161839863713797
2020-05-25,695,1.776978417266187
2020-05-26,631,0.4928684627575277
2020-05-27,686,1.400874635568513
2020-05-28,933,2.323687031082529
2020-05-29,1085,1.7004608294930876
2020-05-30,912,0.05153508771929827
2020-05-31,953,1.2151101783840503
2020-06-01,994,1.2062374245472838
2020-06-02,932,0.6673819742489271
2020-06-03,1117,1.8281110116383168
2020-06-04,1292,1.6772445820433437
2020-06-05,1392,1.3591954022988506
2020-06-06,1341,0.8098434004474273
2020-06-07,1362,1.077092511013216
2020-06-08,1025,-0.6439024390243901
2020-06-09,1033,1.0387221684414327
2020-06-10,896,0.2354910714285715
2020-06-11,1218,2.32183908045977
2020-06-12,1208,0.9586092715231788
2020-06-13,1512,2.005291005291005
2020-06-14,1763,1.7118547929665344
2020-06-15,1606,0.5112079701120797
2020-06-16,1337,-0.005983545250560773
2020-06-17,1472,1.4585597826086956
2020-06-18,1507,1.1161247511612475
2020-06-19,1239,-0.08151735270379334
2020-06-20,1753,2.4660581859669137
2020-06-21,1961,1.530341662417134
2020-06-22,1978,1.0429726996966633
2020-06-23,2084,1.2543186180422266
2020-06-24,2270,1.4096916299559472
2020-06-25,2115,0.6335697399527187
2020-06-26,2277,1.3557312252964426
2020-06-27,2174,0.7631094756209752
2020-06-28,2338,1.350727117194183
2020-06-29,2268,0.845679012345679
2020-06-30,2302,1.0738488271068636
2020-07-01,1703,-0.758661186142102
2020-07-02,3343,3.452886628776548
2020-07-03,3726,1.5139559849704778
2020-07-04,4227,1.5926188786373314
2020-07-05,4688,1.4916808873720138
2020-07-06,5329,1.6014261587539877
2020-07-07,3378,-1.8878034339846064
2020-07-08,3171,0.67360454115421
2020-07-09,2550,-0.2176470588235293
2020-07-10,1696,-1.5176886792452828
2020-07-11,1789,1.2599217439910564
2020-07-12,1789,1.0
2020-07-13,1877,1.2344166222695792
2020-07-14,1607,0.15992532669570636
2020-07-15,2542,2.839103068450039
2020-07-16,2415,0.7370600414078675
2020-07-17,3178,2.200440528634361
2020-07-18,2864,0.4518156424581006
2020-07-19,2864,1.0
2020-07-20,3306,1.6684815486993345
2020-07-21,2699,-0.1244905520563171
2020-07-22,3421,2.0552470038000585
2020-07-23,3452,1.044901506373117
2020-07-24,3984,1.6676706827309236
2020-07-25,3262,-0.10668301655426093
2020-07-26,4044,1.966864490603363
2020-07-27,3295,-0.13657056145675273
2020-07-28,3064,0.6230417754569191
2020-07-29,2532,-0.05055292259083721
2020-07-30,3390,2.265486725663717
2020-07-31,3406,1.02348796241926
2020-08-01,2670,-0.37827715355805247
2020-08-02,3574,2.264689423614997
2020-08-03,4141,1.684617242212026
2020-08-04,2628,-1.878614916286149
2020-08-05,2721,1.1708930540242557
2020-08-06,2721,1.0
2020-08-07,2137,-0.36640149742629835
2020-08-08,1762,-0.06413166855845609
2020-08-09,1930,1.4352331606217616
2020-08-10,1039,-3.2877767083734355
2020-08-11,1314,2.0464231354642313
2020-08-12,635,-4.346456692913386
2020-08-13,806,2.0607940446650126
2020-08-14,638,-0.3166144200626959
2020-08-15,1081,3.049028677150786
2020-08-16,1146,1.2835951134380452
2020-08-17,1146,1.0
2020-08-18,1050,0.5428571428571429
2020-08-19,1115,1.2914798206278026
2020-08-20,852,-0.5434272300469483
2020-08-21,629,-0.7726550079491254
2020-08-22,629,1.0
2020-08-23,362,-2.687845303867403
2020-08-24,516,2.492248062015504
2020-08-25,336,-1.6785714285714284
2020-08-26,219,-1.6712328767123283
2020-08-27,674,4.3753709198813056
2020-08-28,674,1.0
2020-08-29,455,-1.4065934065934065
2020-08-30,455,1.0
2020-08-31,455,1.0
2020-09-01,417,0.5443645083932854
2020-09-02,481,1.6652806652806653
2020-09-03,573,1.8027923211169283
2020-09-04,716,1.9986033519553073
2020-09-05,892,1.9865470852017937
2020-09-06,600,-1.4333333333333331
2020-09-07,611,1.0900163666121112
2020-09-08,565,0.5929203539823009
2020-09-09,422,-0.6943127962085307
2020-09-10,246,-2.5772357723577235
2020-09-11,288,1.7291666666666665
2020-09-12,267,0.6067415730337079
2020-09-13,280,1.2321428571428572
2020-09-14,280,1.0
2020-09-15,280,1.0
2020-09-16,261,0.6360153256704981
2020-09-17,331,2.0574018126888216
2020-09-18,323,0.8761609907120743
2020-09-19,376,1.7047872340425532
2020-09-20,410,1.4146341463414633
2020-09-21,262,-1.8244274809160301
2020-09-22,138,-3.4927536231884053
2020-09-23,317,3.8233438485804414
2020-09-24,264,-0.0037878787878786735
2020-09-25,321,1.8878504672897196
2020-09-26,321,1.0
2020-09-27,490,2.7244897959183674
2020-09-28,260,-3.4230769230769234
2020-09-29,372,2.5053763440860215
2020-09-30,281,-0.6192170818505338
2020-10-01,339,1.8554572271386431
2020-10-02,170,-3.9705882352941178
2020-10-03,291,3.079037800687285
2020-10-04,221,-0.5837104072398189
2020-10-05,238,1.3571428571428572
2020-10-06,203,0.13793103448275867
2020-10-07,221,1.4072398190045248
2020-10-08,169,-0.5384615384615383
2020-10-09,194,1.6443298969072164
2020-10-10,206,1.29126213592233
2020-10-11,208,1.0480769230769231
2020-10-12,212,1.0943396226415094
2020-10-13,169,-0.27218934911242587
2020-10-14,135,-0.2592592592592593
2020-10-15,184,2.3315217391304346
2020-10-16,221,1.83710407239819
2020-10-17,288,2.1631944444444446
2020-10-18,262,0.5038167938931298
2020-10-19,229,0.2794759825327512
2020-10-20,151,-1.5827814569536423
2020-10-21,318,3.6257861635220126
2020-10-22,229,-0.9432314410480347
2020-10-23,229,1.0
2020-10-24,229,1.0
2020-10-25,447,3.4384787472035794
2020-10-26,301,-1.4252491694352156
2020-10-27,365,1.8767123287671232
2020-10-28,434,1.794930875576037
2020-10-29,510,1.7450980392156863
2020-10-30,292,-2.7328767123287667
2020-10-31,520,3.1923076923076925
2020-11-01,588,1.5782312925170068
2020-11-02,664,1.572289156626506
2020-11-03,704,1.2840909090909092
2020-11-04,804,1.6218905472636815
2020-11-05,691,0.182344428364689
2020-11-06,659,0.7572078907435509
2020-11-07,784,1.7971938775510203
2020-11-08,904,1.663716814159292
2020-11-09,953,1.2570828961175236
2020-11-10,816,0.1605392156862746
2020-11-11,821,1.0304506699147382
2020-11-12,551,-1.4500907441016335
2020-11-13,315,-2.746031746031746
2020-11-14,166,-3.4879518072289155
2020-11-15,105,-1.9047619047619047
2020-11-16,0,-1.9047619047619047
2020-11-17,594,5.999999999999999
2020-11-18,751,2.0452729693741674
2020-11-19,818,1.4095354523227384
2020-11-20,971,1.787847579814624
2020-11-21,1061,1.424128180961357
2020-11-22,508,-4.442913385826771
2020-11-23,400,-0.3500000000000001
2020-11-24,438,1.4337899543378996
2020-11-25,382,0.2670157068062827
2020-11-26,385,1.0389610389610389
2020-11-27,442,1.6447963800904977
2020-11-28,516,1.7170542635658914
2020-11-29,514,0.980544747081712
2020-11-30,620,1.8548387096774195
2020-12-01,629,1.0715421303656598
2020-12-02,607,0.8187808896210873
2020-12-03,581,0.7762478485370052
2020-12-04,627,1.3668261562998405
2020-12-05,538,0.17286245353159857
2020-12-06,540,1.0185185185185186
2020-12-07,570,1.263157894736842
2020-12-08,562,0.9288256227758007
2020-12-09,494,0.31174089068825916
2020-12-10,526,1.3041825095057034
2020-12-11,532,1.056390977443609
2020-12-12,542,1.0922509225092252
2020-12-13,558,1.1433691756272402
2020-12-14,539,0.8237476808905381
2020-12-15,493,0.5334685598377282
2020-12-16,461,0.6529284164859002
2020-12-17,470,1.0957446808510638
2020-12-18,463,0.9244060475161987
2020-12-19,490,1.2755102040816326
2020-12-20,458,0.6506550218340612
2020-12-21,490,1.3265306122448979
2020-12-22,430,0.3023255813953488
2020-12-23,447,1.1901565995525727
2020-12-24,460,1.141304347826087
2020-12-25,392,0.13265306122448983
2020-12-26,460,1.7391304347826086
2020-12-27,485,1.2577319587628866
2020-12-28,452,0.6349557522123894
2020-12-29,427,0.7072599531615925
2020-12-30,561,2.194295900178253
2020-12-31,487,0.24024640657084195
2021-01-01,397,-0.1335012594458438
2021-01-02,315,-0.3015873015873016
2021-01-03,531,3.0338983050847457
2021-01-04,556,1.224820143884892
2021-01-05,604,1.3973509933774835
2021-01-06,869,2.524741081703107
2021-01-07,1062,1.908662900188324
2021-01-08,960,0.46875
2021-01-09,988,1.1417004048582995
2021-01-10,1034,1.2224371373307543
2021-01-11,944,0.5233050847457628
2021-01-12,751,-0.2849533954727028
2021-01-13,996,2.229919678714859
2021-01-14,1106,1.4972875226039783
2021-01-15,1259,1.6076250992851469
2021-01-16,1450,1.6586206896551725
2021-01-17,1841,2.0619228680065183
2021-01-18,2063,1.5380513814832768
2021-01-19,1766,0.1591166477916196
2021-01-20,2050,1.6926829268292682
2021-01-21,3058,2.648136036625245
2021-01-22,3313,1.3848475701780862
2021-01-23,3271,0.935799449709569
2021-01-24,3271,1.0
2021-01-25,3768,1.6595010615711252
2021-01-26,3141,0.0019102196752627254
2021-01-27,3292,1.2293438639125152
2021-01-28,3465,1.2496392496392497
2021-01-29,4259,1.9321436957032168
2021-01-30,3899,0.5383431649140806
2021-01-31,3929,1.0381776533469076
2021-02-01,3828,0.8680773249738767
2021-02-02,3830,1.0026109660574412
2021-02-03,3758,0.9042043640234168
2021-02-04,3751,0.9906691548920288
2021-02-05,3769,1.023879013000796
2021-02-06,3748,0.9719850586979722
2021-02-07,3511,0.6624893192822559
2021-02-08,3579,1.0949986029617211
2021-02-09,2814,-0.35927505330490384
2021-02-10,3508,1.9891676168757126
2021-02-11,3489,0.9727715677844655
2021-02-12,2935,0.05621805792163548
2021-02-13,2145,-0.8414918414918415
2021-02-14,3924,3.2668195718654434
2021-02-15,2853,-0.8769716088328074
2021-02-16,2673,0.6632996632996633
2021-02-17,3163,1.7745810938981978
2021-02-18,3761,1.7950013294336613
2021-02-19,2488,-1.558279742765273
2021-02-20,2070,-0.009661835748792313
2021-02-21,2508,1.8732057416267942
2021-02-22,2476,0.9353796445880452
2021-02-23,2333,0.6935276468066867
2021-02-24,2453,1.2445984508764778
2021-02-25,2855,1.7040280210157617
2021-02-26,2350,-0.07446808510638303
2021-02-27,2214,0.6928635953026197
