origin,method,mase
100,persistence,9.040281066218588
100,moving_avg_7,7.135915592846776
100,classical_sir,12.298611523594952
140,persistence,3.96459544811064
140,moving_avg_7,5.382901012740935
140,classical_sir,27.507333407558683
180,persistence,1.2612581703239538
180,moving_avg_7,1.2691786051820368
180,classical_sir,11.440803317310106
220,persistence,0.5181997666696581
220,moving_avg_7,0.7109453724952244
220,classical_sir,4.299520892218846
260,persistence,0.880272383762048
260,moving_avg_7,0.2836549536260582
260,classical_sir,3.4884733401384507
300,persistence,3.9183224766288305
300,moving_avg_7,4.565609600707311
300,classical_sir,1.545228121304918
