origin,regime,method,seed,mase,phase,date
100,weekly,pinn_split,3,6.53,rising,2020-06-20
100,weekly,pinn_split,2,5.97,rising,2020-06-20
100,weekly,pinn_split,1,6.36,rising,2020-06-20
100,daily,pinn_split,3,5.97,rising,2020-06-20
100,daily,pinn_split,2,2.72,rising,2020-06-20
100,daily,pinn_split,1,7.29,rising,2020-06-20
100,mask,pinn_split,1,3.59,rising,2020-06-20
100,mask,pinn_split,3,6.63,rising,2020-06-20
100,mask,pinn_split,2,7.19,rising,2020-06-20
140,daily,pinn_split,1,6.82,falling,2020-07-30
140,daily,pinn_split,3,6.82,falling,2020-07-30
140,daily,pinn_split,2,6.73,falling,2020-07-30
100,weekly,pinn_joint,1,6.53,rising,2020-06-20
100,weekly,pinn_joint,2,6.57,rising,2020-06-20
100,weekly,pinn_joint,3,6.65,rising,2020-06-20
100,daily,pinn_joint,3,5.75,rising,2020-06-20
100,daily,pinn_joint,1,6.29,rising,2020-06-20
100,daily,pinn_joint,2,3.69,rising,2020-06-20
140,weekly,pinn_split,1,7.2,falling,2020-07-30
140,weekly,pinn_split,2,7.28,falling,2020-07-30
140,weekly,pinn_split,3,7.29,falling,2020-07-30
100,mask,pinn_joint,2,7.11,rising,2020-06-20
100,mask,pinn_joint,1,7.68,rising,2020-06-20
100,mask,pinn_joint,3,6.33,rising,2020-06-20
140,mask,pinn_split,1,5.16,falling,2020-07-30
140,mask,pinn_split,2,6.06,falling,2020-07-30
140,mask,pinn_split,3,6.01,falling,2020-07-30
180,daily,pinn_split,1,1.41,falling,2020-09-08
180,daily,pinn_split,2,0.69,falling,2020-09-08
180,daily,pinn_split,3,0.75,falling,2020-09-08
140,daily,pinn_joint,1,5.84,falling,2020-07-30
140,daily,pinn_joint,2,6.68,falling,2020-07-30
140,daily,pinn_joint,3,5.95,falling,2020-07-30
180,weekly,pinn_split,1,1.23,falling,2020-09-08
180,weekly,pinn_split,2,1.24,falling,2020-09-08
180,weekly,pinn_split,3,1.09,falling,2020-09-08
140,weekly,pinn_joint,1,7.17,falling,2020-07-30
140,weekly,pinn_joint,2,7.16,falling,2020-07-30
140,weekly,pinn_joint,3,6.94,falling,2020-07-30
180,mask,pinn_split,1,0.96,falling,2020-09-08
180,mask,pinn_split,2,0.62,falling,2020-09-08
180,mask,pinn_split,3,0.84,falling,2020-09-08
140,mask,pinn_joint,1,4.51,falling,2020-07-30
140,mask,pinn_joint,2,5.18,falling,2020-07-30
140,mask,pinn_joint,3,4.09,falling,2020-07-30
220,daily,pinn_split,1,0.56,rising,2020-10-18
220,daily,pinn_split,2,0.38,rising,2020-10-18
220,daily,pinn_split,3,0.49,rising,2020-10-18
180,daily,pinn_joint,1,0.99,falling,2020-09-08
180,daily,pinn_joint,3,0.89,falling,2020-09-08
180,daily,pinn_joint,2,1.21,falling,2020-09-08
180,weekly,pinn_joint,2,1.02,falling,2020-09-08
180,weekly,pinn_joint,1,0.85,falling,2020-09-08
180,weekly,pinn_joint,3,0.98,falling,2020-09-08
220,weekly,pinn_split,1,0.5,rising,2020-10-18
220,weekly,pinn_split,2,0.5,rising,2020-10-18
220,weekly,pinn_split,3,0.5,rising,2020-10-18
220,mask,pinn_split,1,0.53,rising,2020-10-18
220,mask,pinn_split,2,0.44,rising,2020-10-18
220,mask,pinn_split,3,0.48,rising,2020-10-18
180,mask,pinn_joint,1,0.82,falling,2020-09-08
180,mask,pinn_joint,2,1.05,falling,2020-09-08
180,mask,pinn_joint,3,0.91,falling,2020-09-08
260,daily,pinn_split,1,0.62,flat,2020-11-27
260,daily,pinn_split,2,0.22,flat,2020-11-27
260,daily,pinn_split,3,0.74,flat,2020-11-27
220,daily,pinn_joint,1,1.66,rising,2020-10-18
220,daily,pinn_joint,2,1.64,rising,2020-10-18
220,daily,pinn_joint,3,1.63,rising,2020-10-18
260,weekly,pinn_split,1,0.64,flat,2020-11-27
220,weekly,pinn_joint,2,1.66,rising,2020-10-18
220,weekly,pinn_joint,1,1.66,rising,2020-10-18
260,weekly,pinn_split,2,0.22,flat,2020-11-27
220,weekly,pinn_joint,3,1.67,rising,2020-10-18
260,weekly,pinn_split,3,0.28,flat,2020-11-27
260,mask,pinn_split,1,1.01,flat,2020-11-27
260,mask,pinn_split,2,0.82,flat,2020-11-27
260,mask,pinn_split,3,0.64,flat,2020-11-27
220,mask,pinn_joint,1,1.66,rising,2020-10-18
220,mask,pinn_joint,2,0.72,rising,2020-10-18
220,mask,pinn_joint,3,0.63,rising,2020-10-18
300,daily,pinn_split,1,5.64,rising,2021-01-06
300,daily,pinn_split,2,5.09,rising,2021-01-06
300,daily,pinn_split,3,5.21,rising,2021-01-06
260,daily,pinn_joint,1,0.54,flat,2020-11-27
260,daily,pinn_joint,2,2.89,flat,2020-11-27
260,daily,pinn_joint,3,2.88,flat,2020-11-27
260,weekly,pinn_joint,1,2.89,flat,2020-11-27
260,weekly,pinn_joint,2,2.88,flat,2020-11-27
260,weekly,pinn_joint,3,2.89,flat,2020-11-27
300,weekly,pinn_split,1,4.85,rising,2021-01-06
300,weekly,pinn_split,2,5.15,rising,2021-01-06
300,weekly,pinn_split,3,4.86,rising,2021-01-06
300,mask,pinn_split,1,4.5,rising,2021-01-06
300,mask,pinn_split,2,4.55,rising,2021-01-06
260,mask,pinn_joint,1,2.89,flat,2020-11-27
300,mask,pinn_split,3,5.44,rising,2021-01-06
260,mask,pinn_joint,2,2.9,flat,2020-11-27
260,mask,pinn_joint,3,2.89,flat,2020-11-27
300,daily,pinn_joint,2,3.06,rising,2021-01-06
300,daily,pinn_joint,3,7.43,rising,2021-01-06
300,daily,pinn_joint,1,3.77,rising,2021-01-06
300,weekly,pinn_joint,1,3.57,rising,2021-01-06
300,weekly,pinn_joint,2,3.74,rising,2021-01-06
300,weekly,pinn_joint,3,7.44,rising,2021-01-06
300,mask,pinn_joint,1,7.44,rising,2021-01-06
300,mask,pinn_joint,3,3.52,rising,2021-01-06
300,mask,pinn_joint,2,3.2,rising,2021-01-06
