origin,regime,method,seed,mase,mae,rmse,n_train_points,seconds,mean_Rt
60,-,persistence,-1,9.365962191475344,1044.0666666666666,1130.2313922378903,60,0.0,
60,-,moving_avg_7,-1,3.608595610967512,402.26666666666654,478.94744858220236,60,0.0,
60,-,classical_sir,-1,33.57243098177638,3742.4725180871737,4512.501847408107,60,0.0,
75,-,persistence,-1,2.8109554408511537,360.6,414.55156494699185,75,0.0,
75,-,moving_avg_7,-1,2.8011557388150674,359.3428571428572,413.10164287610723,75,0.0,
75,-,classical_sir,-1,17.10448732277367,2194.2283534471685,2456.0224494397844,75,0.0,
90,-,persistence,-1,4.54491744756805,572.2,665.0271673648629,90,0.0,
90,-,moving_avg_7,-1,3.2574896411040997,410.1142857142858,517.4577336579762,90,0.0,
90,-,classical_sir,-1,15.789825597108432,1987.9213012988764,2174.6680082068006,90,0.0,
105,-,persistence,-1,6.469442084395355,878.6,1285.395269946175,105,0.0,
105,-,moving_avg_7,-1,9.045353400493587,1228.4285714285716,1590.2897109098865,105,0.0,
105,-,classical_sir,-1,13.448937471313213,1826.4691619694984,2204.263612447858,105,0.0,
60,mask,pinn_split,1,10.582199302543032,1179.6461832682292,1272.5104835244158,20,253.3,1.1774580478668213
60,daily,pinn_split,3,8.189539663701394,912.9254638671875,982.0929296315024,60,276.5,1.179907202720642
60,daily,pinn_split,1,8.059922308813304,898.4764241536458,966.2202603619673,60,276.6,1.1764124631881714
60,daily,pinn_split,2,8.080307699594705,900.748876953125,968.8042771150353,60,277.8,1.1783180236816406
60,mask,pinn_split,2,10.568929624197407,1178.1669514973958,1270.7762485540684,20,250.9,1.1722584962844849
60,mask,pinn_split,3,10.814315081795462,1205.52119140625,1302.738396904708,20,251.3,1.1754233837127686
75,daily,pinn_split,1,1.229723921779535,157.7536376953125,208.32712505771477,75,286.5,1.0325673818588257
75,daily,pinn_split,2,2.030148790247584,260.43516845703124,311.03375539242785,75,285.9,1.0177093744277954
75,weekly,pinn_split,1,1.5265063388264162,195.82600911458334,233.2756425864067,11,251.0,1.0857003927230835
75,daily,pinn_split,3,1.2725536241822375,163.24799397786458,213.25061347412128,75,287.1,1.1263290643692017
75,weekly,pinn_split,2,1.61725109537949,207.46708984375,253.72791076825638,11,251.4,1.0888288021087646
75,weekly,pinn_split,3,1.5963169904935437,204.78158365885417,246.2968494816451,11,251.1,1.0884699821472168
75,mask,pinn_split,1,3.8848846323030792,498.3677001953125,541.9136408073105,31,262.6,0.9760895371437073
75,mask,pinn_split,2,4.1532047676920385,532.7888224283854,579.860979736179,31,262.8,0.863286554813385
75,mask,pinn_split,3,1.9729772007512665,253.10098063151042,301.2521282358755,31,262.3,1.0066381692886353
90,daily,pinn_split,1,3.0330990418560813,381.86376139322914,485.1851919640862,90,291.8,1.0055757761001587
90,weekly,pinn_split,1,2.0463797079231276,257.63690592447915,308.0807352182423,13,258.5,1.0692592859268188
90,daily,pinn_split,2,3.500372273236464,440.69293619791665,559.0716783991159,90,298.0,0.9528455138206482
90,daily,pinn_split,3,2.67306131935148,336.53541666666666,424.1560839610158,90,297.6,0.9963977932929993
90,weekly,pinn_split,2,2.0035310621827587,252.2423095703125,296.0053690544473,13,257.0,1.076943278312683
90,weekly,pinn_split,3,2.1506759365296837,270.76768391927084,328.87841646797153,13,250.7,1.052988886833191
90,mask,pinn_split,1,2.6761795859653894,336.9280029296875,396.0340373910969,45,267.8,1.1526793241500854
90,mask,pinn_split,2,2.53351841974379,318.9671223958333,397.10320621015876,45,268.1,1.03533935546875
90,mask,pinn_split,3,2.460428127440317,309.76513671875,384.08857233440716,45,267.1,1.0424158573150635
105,weekly,pinn_split,1,10.044845606694869,1364.1673014322917,1685.8010842794656,15,254.1,1.0460865497589111
105,daily,pinn_split,1,8.143516544128493,1105.9521891276042,1458.5250221992442,105,305.6,1.3057078123092651
105,daily,pinn_split,2,9.131863760266214,1240.17734375,1574.039590506723,105,305.6,1.048540711402893
105,daily,pinn_split,3,9.320709260205737,1265.8240152994792,1598.5246068673393,105,302.0,1.0526396036148071
105,weekly,pinn_split,2,9.467870319358893,1285.809619140625,1613.4053484826336,15,249.6,1.073043942451477
105,weekly,pinn_split,3,10.275803997738777,1395.5332275390624,1713.7109413086537,15,250.5,1.0446299314498901
105,mask,pinn_split,1,8.765398638104172,1190.4085611979167,1523.7498123278435,59,264.5,1.0578631162643433
105,mask,pinn_split,2,8.751513012720663,1188.5227864583333,1521.9455395490402,59,260.6,1.0623611211776733
105,mask,pinn_split,3,6.824404843558245,926.8066731770833,1274.5778188691695,59,168.6,1.1020824909210205
