origin,regime,method,seed,mase,mae,rmse,n_train_points,seconds
60,-,persistence,-1,4.066664542746548,25962.0,29678.59151644498,60,0.0
60,-,moving_avg_7,-1,4.8903624848955145,31220.571428571428,34373.20803658761,60,0.0
60,-,classical_sir,-1,110.0825430537264,702778.1496898762,860475.1484554854,60,0.0
75,-,persistence,-1,1.6408094523828325,10111.2,11913.326789776229,75,0.0
75,-,moving_avg_7,-1,3.838310520650458,23652.91428571428,24797.43109209796,75,0.0
75,-,classical_sir,-1,48.0334552209516,295997.7294894132,338054.1583105111,75,0.0
60,daily,pinn_split,1,2.649180465510192,16912.6375,19246.899395667137,60,154.5
60,daily,pinn_split,2,2.116544595187462,13512.2359375,15379.486477818928,60,153.9
60,daily,pinn_split,3,2.138666116493921,13653.461979166666,15468.73492183648,60,154.4
75,daily,pinn_split,1,0.6463299742523223,3982.894921875,4829.53034663591,75,159.5
75,daily,pinn_split,2,0.5057055504661427,3116.321614583333,4012.721587628127,75,160.0
75,daily,pinn_split,3,0.5270067408679304,3247.586458333333,4142.212997876917,75,160.7
75,weekly,pinn_split,1,1.6812797575319656,10360.591145833334,11020.581335354156,11,136.2
75,weekly,pinn_split,2,1.801265788715538,11099.983984375,11734.266194228543,11,134.2
75,weekly,pinn_split,3,1.5022198863005067,9257.166145833333,9973.160702398887,11,135.0
60,daily,pinn_joint,1,3.355202204938822,21419.952083333334,24258.009646625076,60,947.2
60,daily,pinn_joint,2,2.9333148347634395,18726.580208333333,20999.96429088625,60,938.9
