origin,regime,method,seed,mase
100,weekly,pinn_split,3,6.53
100,weekly,pinn_split,2,5.97
100,weekly,pinn_split,1,6.36
100,daily,pinn_split,3,5.97
100,daily,pinn_split,2,2.72
100,daily,pinn_split,1,7.29
100,mask,pinn_split,1,3.59
100,mask,pinn_split,3,6.63
100,mask,pinn_split,2,7.19
140,daily,pinn_split,1,6.82
140,daily,pinn_split,3,6.82
140,daily,pinn_split,2,6.73
100,weekly,pinn_joint,1,6.53
100,weekly,pinn_joint,2,6.57
100,weekly,pinn_joint,3,6.65
100,daily,pinn_joint,3,5.75
100,daily,pinn_joint,1,6.29
100,daily,pinn_joint,2,3.69
140,weekly,pinn_split,1,7.2
140,weekly,pinn_split,2,7.28
140,weekly,pinn_split,3,7.29
100,mask,pinn_joint,2,7.11
100,mask,pinn_joint,1,7.68
100,mask,pinn_joint,3,6.33
140,mask,pinn_split,1,5.16
140,mask,pinn_split,2,6.06
140,mask,pinn_split,3,6.01
180,daily,pinn_split,1,1.41
180,daily,pinn_split,2,0.69
180,daily,pinn_split,3,0.75
140,daily,pinn_joint,1,5.84
140,daily,pinn_joint,2,6.68
140,daily,pinn_joint,3,5.95
180,weekly,pinn_split,1,1.23
180,weekly,pinn_split,2,1.24
180,weekly,pinn_split,3,1.09
140,weekly,pinn_joint,1,7.17
140,weekly,pinn_joint,2,7.16
140,weekly,pinn_joint,3,6.94
180,mask,pinn_split,1,0.96
180,mask,pinn_split,2,0.62
180,mask,pinn_split,3,0.84
140,mask,pinn_joint,1,4.51
140,mask,pinn_joint,2,5.18
140,mask,pinn_joint,3,4.09
220,daily,pinn_split,1,0.56
220,daily,pinn_split,2,0.38
220,daily,pinn_split,3,0.49
180,daily,pinn_joint,1,0.99
180,daily,pinn_joint,3,0.89
180,daily,pinn_joint,2,1.21
180,weekly,pinn_joint,2,1.02
180,weekly,pinn_joint,1,0.85
180,weekly,pinn_joint,3,0.98
220,weekly,pinn_split,1,0.5
220,weekly,pinn_split,2,0.5
220,weekly,pinn_split,3,0.5
220,mask,pinn_split,1,0.53
220,mask,pinn_split,2,0.44
220,mask,pinn_split,3,0.48
180,mask,pinn_joint,1,0.82
180,mask,pinn_joint,2,1.05
180,mask,pinn_joint,3,0.91
260,daily,pinn_split,1,0.62
260,daily,pinn_split,2,0.22
260,daily,pinn_split,3,0.74
220,daily,pinn_joint,1,1.66
220,daily,pinn_joint,2,1.64
220,daily,pinn_joint,3,1.63
260,weekly,pinn_split,1,0.64
220,weekly,pinn_joint,2,1.66
220,weekly,pinn_joint,1,1.66
260,weekly,pinn_split,2,0.22
220,weekly,pinn_joint,3,1.67
260,weekly,pinn_split,3,0.28
260,mask,pinn_split,1,1.01
260,mask,pinn_split,2,0.82
260,mask,pinn_split,3,0.64
220,mask,pinn_joint,1,1.66
220,mask,pinn_joint,2,0.72
220,mask,pinn_joint,3,0.63
300,daily,pinn_split,1,5.64
300,daily,pinn_split,2,5.09
300,daily,pinn_split,3,5.21
260,daily,pinn_joint,1,0.54
260,daily,pinn_joint,2,2.89
260,daily,pinn_joint,3,2.88
260,weekly,pinn_joint,1,2.89
260,weekly,pinn_joint,2,2.88
260,weekly,pinn_joint,3,2.89
300,weekly,pinn_split,1,4.85
300,weekly,pinn_split,2,5.15
300,weekly,pinn_split,3,4.86
300,mask,pinn_split,1,4.5
300,mask,pinn_split,2,4.55
260,mask,pinn_joint,1,2.89
300,mask,pinn_split,3,5.44
260,mask,pinn_joint,2,2.9
260,mask,pinn_joint,3,2.89
300,daily,pinn_joint,2,3.06
300,daily,pinn_joint,3,7.43
300,daily,pinn_joint,1,3.77
300,weekly,pinn_joint,1,3.57
300,weekly,pinn_joint,2,3.74
300,weekly,pinn_joint,3,7.44
300,mask,pinn_joint,1,7.44
300,mask,pinn_joint,3,3.52
300,mask,pinn_joint,2,3.2
