country,origin,regime,method,seed,mase,mae,rmse,n_train_points,seconds
italy_secondary,75,-,persistence,-1,7.862145964414405,34143.6,36310.06111809783,75,0.0
italy_secondary,75,-,moving_avg_7,-1,8.531038842227955,37048.45714285715,39054.10726295152,75,0.0
italy_secondary,75,-,classical_sir,-1,161.77815736119848,702567.558358634,834674.2904538473,75,0.0
italy_secondary,75,daily,pinn_split,1,10.263406835326904,44571.75677083333,47406.54381652887,75,0.0
italy_secondary,75,daily,pinn_split,2,11.53801409776288,50107.10052083333,53500.58653733249,75,0.0
italy_secondary,75,daily,pinn_split,3,9.21051040065429,39999.255208333336,42698.08141179539,75,0.0
italy_secondary,75,weekly,pinn_split,1,9.894828926234675,42971.10260416667,43701.10423230757,11,0.0
italy_secondary,75,weekly,pinn_split,2,3.9864806906948256,17312.423697916667,18660.62736766956,11,0.0
italy_secondary,75,weekly,pinn_split,3,5.089208593485828,22101.33255208333,23385.520755787533,11,0.0
italy_secondary,75,sparse20,pinn_split,1,7.606762298801573,33034.52395833333,35068.07502168504,57,0.0
italy_secondary,75,sparse20,pinn_split,2,8.40741701375275,36511.59427083333,38714.23780034074,57,0.0
italy_secondary,75,sparse20,pinn_split,3,7.646502313561483,33207.10625,35573.40940851502,57,0.0
italy_secondary,75,sparse30,pinn_split,1,5.464203457532325,23729.854166666668,25842.08483154601,51,0.0
italy_secondary,75,sparse30,pinn_split,2,5.089159241980586,22101.118229166663,24229.87862494573,51,0.0
italy_secondary,75,sparse30,pinn_split,3,5.3125163592031095,23071.10989583333,25266.54063933652,51,0.0
italy_secondary,75,sparse40,pinn_split,1,6.3381816766812085,27525.352604166663,29381.13382212519,51,0.0
italy_secondary,75,sparse40,pinn_split,2,7.7273229290487055,33558.09270833333,35699.84651564087,51,0.0
italy_secondary,75,sparse40,pinn_split,3,7.937490541677297,34470.80520833333,36590.39031462289,51,0.0
italy_secondary,90,-,persistence,-1,3.8760477434847096,18499.2,21610.4898972698,90,0.0
italy_secondary,90,-,moving_avg_7,-1,6.738221222241278,32159.485714285704,34044.462021999214,90,0.0
italy_secondary,90,-,classical_sir,-1,77.49134009394695,369842.6576596162,418500.78246214055,90,0.0
italy_secondary,90,daily,pinn_split,1,2.2876831603966066,10918.417708333332,12115.843840558313,90,0.0
italy_secondary,90,daily,pinn_split,2,2.47173698597182,11796.85078125,12970.62885485708,90,0.0
italy_secondary,90,daily,pinn_split,3,1.388156750025504,6625.251041666666,7912.74301214935,90,0.0
italy_secondary,90,weekly,pinn_split,1,3.382368284110617,16143.017708333333,17998.697229128542,13,0.0
italy_secondary,90,weekly,pinn_split,2,2.8368987898352835,13539.657291666666,15226.51730010267,13,0.0
