origin,regime,method,seed,mase,mae,rmse,n_train_points,seconds
120,-,persistence,-1,3.455741963085197,633.5333333333333,733.1184078987513,120,0.0
120,-,moving_avg_7,-1,6.820572057205721,1250.4,1433.6794620834883,120,0.0
120,-,classical_sir,-1,31.5808237475046,5789.640763660171,6038.030592811534,120,0.0
120,daily,pinn_split,34,3.326181452170282,609.781298828125,735.0605880032787,120,15.2
120,weekly,pinn_split,34,3.748230659383213,687.1546223958334,817.2304205741501,18,14.2
120,mask,pinn_split,34,6.711734036766306,1230.44697265625,1296.2985837980905,72,14.3
180,-,persistence,-1,1.2612581703239538,295.73333333333335,310.63483384836286,180,0.0
180,-,moving_avg_7,-1,1.2691786051820368,297.59047619047635,312.4034043905891,180,0.0
180,-,classical_sir,-1,11.440803317310106,2682.580759948729,2738.051982135319,180,0.0
180,daily,pinn_split,34,1.23792406940969,290.262073280414,302.74231023934345,180,13.6
180,weekly,pinn_split,34,1.1951120344363493,280.2237273593744,299.7305016769424,26,13.2
180,mask,pinn_split,34,0.7575811545360868,177.63373540242512,200.9557521807066,111,14.5
240,-,persistence,-1,1.431881872176617,278.06666666666666,329.05349109225386,240,0.0
240,-,moving_avg_7,-1,1.4293807256382394,277.58095238095234,329.1977302142761,240,0.0
240,-,classical_sir,-1,2.686123707779782,521.63623284177,629.1063854093184,240,0.0
240,daily,pinn_split,34,1.5279745713684632,296.72754720052086,406.7313458311314,240,13.9
240,weekly,pinn_split,34,1.4470718001659073,281.01649983723956,335.0456809615758,35,13.1
240,mask,pinn_split,34,1.8783241460297975,364.76426188151044,484.4923549599927,153,13.4
300,-,persistence,-1,3.9183224766288305,671.9333333333333,796.9403574505017,300,0.0
300,-,moving_avg_7,-1,4.565609600707311,782.9333333333333,892.5268249936992,300,0.0
300,-,classical_sir,-1,1.545228121304918,264.98336686216845,374.9139819759388,300,0.0
300,daily,pinn_split,34,5.330000036211129,914.0147888183594,1020.4080258282319,300,13.8
300,weekly,pinn_split,34,5.662944653822491,971.1097798665364,1071.9514319771197,43,13.1
300,mask,pinn_split,34,5.744889163684514,985.1620300292968,1087.7660755295997,205,13.4
